1,13/08/2022,17:00,C,CD Tenerife,0:0
2,19.08.2022,20:00,F,Villarreal B,2:2
3,28.08.2022,19:30,C,Ponferradina,1:0
4,02.09.2022,21:00,F,Leganes,1:2
5,12.09.2022,21:00,C,Granada,4:0
6,17.09.2022,18:30,F,FC Andorra,0:2
7,25.09.2022,18:30,C,Real Racing,2:1
8,03.10.2022,21:00,F,Zaragoza,0:0
9,10.10.2022,21:00,C,Mirandes,0:0
10,13.10.2022,19:00,F,UD Ibiza,2:1
11,17.10.2022,21:00,F,Sporting,0:2
12,23.10.2022,18:30,C,Albacete,1:1
13,30.10.2022,16:15,F,Malaga,1:0
14,02.11.2022,19:00,C,Lugo,1:0
15,06.11.2022,18:30,F,Las Palmas,1:1
16,20.11.2022,19:00,C,Alaves,0:0
17,27.11.2022,18:00,F,FC Cartagena,1:2
18,04.12.2022,18:30,C,Huesca,2:1
19,08.12.2022,14:00,F,Burgos CF,2:1
20,11.12.2022,18:30,C,Real Oviedo,1:0
21,18.12.2022,19:00,F,Levante,0:0
22,08.01.2023,21:00,C,UD Ibiza,1:0
23,15.01.2023,14:00,C,Malaga,2:1
24,21.01.2023,16:15,F,Ponferradina,1:0
25,28.01.2023,18:30,C,Leganes,0:0
26,04.02.2023,21:00,F,Alaves,0:2
27,12.02.2023,18:30,C,FC Cartagena,0:3
28,18.02.2023,16:15,F,Lugo,2:0
29,24.02.2023,21:00,C,Villarreal B,2:0

id,day,time,location,opponent,result
1,1,1,1,1,1
id,day,time,location,opponent,result
a,a,a,a,a,a
id,day,time,location,opponent,result
a,a,a,a,a,a
id,day,time,location,opponent,result
a,a,a,a,a,a
